GPU,YEAR,TDP_MAX,TDP_IDLE,CUDA_CORES,TENSOR_CORES,PROCESS,DIE_SIZE,VRAM,BUS_WIDTH,BASE_CLOCK,BANDWIDTH,TRANSISTOR_COUNT,FP16,FP32,FP64,HBM_STACKS,MEMORY_TYPE,HPI_AVAILABLE,BENCH_MULT_FP16_TFLOPS,BENCH_MULT_FP32_TFLOPS,BENCH_MULT_FP64_TFLOPS,MKEYS/S_SORT,TCPxAIUCpm@10.0
H100_SXM,2023,700,70,16896,528,4,814,80,5120,1590,3350,80000000000,248.3,67,34,5,HBM3,1,657.11,337.24,53.62,29117.73,67.581
V100_SXM,2017,300,44,5120,640,12,815,32,4096,1230,900,21100000000,28.26,14.13,7.066,4,HBM2,1,78.17,13.94,6.66,15580.91,52.835
A100(40),2020,250,40,6512,432,7,826,40,5120,765,1560,54200000000,77.97,19.49,9.746,6,HBM2,1,157.35,86.89,14.88,14009.0,62.615
A100(80),XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,16517.88,65.613
B200_HGX,2024,1000,145,33792,1056,4,1600,180,8192,1665,7700,104000000000,496.6,124.16,62.08,12,HBM3,1,1245.11,669.47,36.2,37941.04,80.162
A40,2020,300,32,10752,336,8,628,48,384,1305,695.8,28300000000,37.42,37.42,0.584,1,GDDR6,1,50.32,27.21,0,6382.14,72.435
2080ti,2018,250,15,4352,544,12,814,11,352,1350,616,18600000000,26.9,13.45,0.4202,1,GDDR6,1,52.32,12.04,0,5661.31,48.122
P100,2016,300,41,3584,0,16,610,16,4096,1190,732,15300000000,19.05,9.526,4.763,4,HBM2,0,0,0,0,0,0
K80,2014,300,25,4992,0,28,561,24,768,562,481.2,7100000000,,8.226,2.742,1,GDDR5,0,0,0,0,0,0
T4,2018,70,36,2560,320,12,545,16,256,585,320,13600000000,65.13,8.141,0.2544,1,GDDR6,0,0,0,0,3984.64,0
A30,2021,165,45,3584,224,7,826,24,3072,930,933.1,54200000000,10.32,10.32,5.161,3,HBM2,0,0,0,0,0,0
L40,2022,300,39,18176,568,5,609,48,384,735,864,76300000000,90.52,90.52,1.4143,1,GDDR6,0,125.93,55.46,0,8367.6,0
GH200,2023,900,72,16896,528,4,814,144,5120,1590,4900,80000000000,248.3,67,34,5,HBM3,1,574.17,291.96,49.37,0,0
A100(80)_SXM,2020,400,65,6912,432,7,826,80,5120,765,2039,54200000000,77.97,19.5,9.746,5,HBM2,1,210.2,118.78,17.53,0,0
